,Case1,Case2,Case3,Case4,Case5,Case6,Case7,Case8,Case9,Case10,Case11,Case12,Case13,Case14,Case15,Case16,Case17,Case18,Case19,Case20,Case21,Case22,Case23,Case24,Case25,Case26,Case27,Case28,Case29,Case30,Case31,Case32,Case33,Case34,Case35,Case36,Case37,Case38,Case39,Case40,Case41,Case42,Case43,Case44,Case45,Case46,Case47,Case48,Case49,Case50,Case51,Case52,Case53,Case54,Case55,Case56,Case57,Case58,Case59,Case60,Case61,Case62,Case63,Case64,Case65,Case66,Case67,Case68,Case69,Case70,Case71,Case72,Case73,Case74,Case75,Case76,Case77,Case78,Case79,Case80,Case81,Case82,Case83,Case84,Case85,Case86,Case87,Case88,Case89,Case90,Case91,Case92,Case93,Case94,Case95,Case96,Case97,Case98,Case99,Case100,Case101,Case102,Case103,Case104,Case105,Case106,Case107,Case108,Case109,Case110,Case111,Case112,Case113,Case114,Case115,Case116,Case117,Case118,Case119,Case120,Case121
CSMD1,0.166666667,0,0.166666667,0,0.166666667,0,0,0,0,0.166666667,0.166666667,0,0,0,0.166666667,0,0.166666667,0,0,0.166666667,0,0.166666667,0,0,0,0,0,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0.166666667,0,0.166666667,0,0.166666667,0,0,0,0.166666667,0,0,0,0,0,0.166666667,0,0,0,0.166666667,0,0.166666667,0,0.166666667,0.166666667,0.166666667,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0,0.166666667,0.166666667,0,0,0,0.166666667,0.166666667,0,0,0.166666667,0.166666667,0,0,0.166666667,0,0,0.166666667,0.166666667,0.166666667
LRP1B,0.171498585,0.171498585,0.171498585,0.171498585,0,0.171498585,0.171498585,0,0,0,0,0.171498585,0,0,0,0,0,0,0.171498585,0,0,0,0.171498585,0,0.171498585,0,0,0.171498585,0.171498585,0,0.171498585,0,0,0,0,0,0,0.171498585,0,0,0,0,0.171498585,0,0,0,0,0,0,0,0,0.171498585,0,0,0,0.171498585,0,0.171498585,0,0,0.171498585,0,0,0,0,0,0.171498585,0.171498585,0,0,0,0,0,0.171498585,0,0.171498585,0.171498585,0,0,0,0,0,0,0,0,0,0,0,0.171498585,0,0,0,0,0,0,0.171498585,0,0,0,0.171498585,0.171498585,0,0,0.171498585,0.171498585,0,0,0.171498585,0.171498585,0,0,0,0,0,0,0,0,0,0,0.171498585,0.171498585
FLG,0,0.182574186,0.182574186,0,0.182574186,0,0.182574186,0,0,0,0,0,0,0,0,0.182574186,0,0,0.182574186,0,0.182574186,0.182574186,0.182574186,0,0,0,0,0,0.182574186,0,0.182574186,0.182574186,0.182574186,0.182574186,0,0.182574186,0,0,0,0.182574186,0.182574186,0,0.182574186,0,0,0,0.182574186,0,0,0,0,0,0,0,0,0.182574186,0,0.182574186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182574186,0,0,0.182574186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182574186,0,0,0,0.182574186,0.182574186,0,0,0.182574186,0,0,0,0,0,0.182574186,0,0,0,0,0,0,0,0,0,0,0.182574186,0.182574186
DNAH5,0.179605302,0,0.179605302,0.179605302,0.179605302,0.179605302,0,0.179605302,0,0.179605302,0,0,0.179605302,0.179605302,0,0,0.179605302,0,0.179605302,0,0,0.179605302,0,0,0,0.179605302,0,0,0.179605302,0,0,0,0,0,0,0,0,0.179605302,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179605302,0,0,0,0.179605302,0,0.179605302,0,0.179605302,0,0,0,0,0,0,0.179605302,0,0,0,0,0,0,0,0,0,0,0,0.179605302,0.179605302,0,0,0,0.179605302,0,0,0,0,0,0.179605302,0,0,0,0,0,0,0,0,0,0,0.179605302,0,0,0,0,0,0,0,0.179605302,0,0,0,0.179605302,0,0,0.179605302,0,0,0.179605302,0.179605302,0.179605302
ABCA13,0.169030851,0.169030851,0,0,0.169030851,0.169030851,0.169030851,0,0,0.169030851,0,0.169030851,0,0,0,0,0,0,0,0,0,0.169030851,0,0,0,0.169030851,0.169030851,0.169030851,0.169030851,0,0,0,0.169030851,0,0,0.169030851,0,0,0,0,0.169030851,0,0.169030851,0,0,0,0,0,0,0,0,0.169030851,0,0,0,0.169030851,0.169030851,0.169030851,0,0,0.169030851,0,0,0,0.169030851,0,0,0,0,0,0,0.169030851,0,0.169030851,0,0,0,0,0,0.169030851,0,0,0,0,0,0,0,0,0,0.169030851,0.169030851,0,0,0,0,0,0,0,0.169030851,0.169030851,0,0,0,0,0,0,0.169030851,0.169030851,0.169030851,0,0,0,0,0,0,0,0,0,0.169030851,0.169030851,0.169030851
DNAH11,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0.166666667,0,0,0,0,0,0.166666667,0.166666667,0,0,0,0.166666667,0.166666667,0,0.166666667,0,0.166666667,0,0,0,0,0.166666667,0,0,0.166666667,0.166666667,0,0.166666667,0.166666667,0,0,0,0.166666667,0,0,0,0,0,0.166666667,0,0,0.166666667,0,0.166666667,0,0,0.166666667,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0.166666667,0,0,0.166666667,0.166666667,0,0.166666667,0,0,0.166666667,0,0,0,0.166666667,0.166666667,0,0,0.166666667,0,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0.166666667,0,0,0,0.166666667,0.166666667
FBXW7,0.188982237,0.188982237,0.188982237,0,0,0,0,0,0,0,0,0,0,0.188982237,0,0,0,0,0,0,0,0,0,0,0,0.188982237,0,0,0,0,0.188982237,0,0.188982237,0.188982237,0,0,0.188982237,0,0.188982237,0,0.188982237,0,0,0.188982237,0.188982237,0,0,0,0,0,0,0.188982237,0,0,0,0.188982237,0,0,0,0,0,0.188982237,0,0,0.188982237,0,0,0,0,0,0,0,0,0,0,0.188982237,0.188982237,0,0.188982237,0,0,0,0,0,0.188982237,0,0,0.188982237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188982237,0,0.188982237,0.188982237,0,0,0,0.188982237,0,0,0,0,0,0,0.188982237,0.188982237
DST,0,0,0.15430335,0.15430335,0,0.15430335,0.15430335,0,0,0,0,0.15430335,0,0,0.15430335,0,0,0.15430335,0.15430335,0,0,0,0,0,0,0,0.15430335,0,0.15430335,0.15430335,0.15430335,0,0.15430335,0,0,0,0,0.15430335,0,0.15430335,0.15430335,0.15430335,0.15430335,0,0,0,0.15430335,0,0,0,0.15430335,0,0,0,0,0.15430335,0,0,0,0,0.15430335,0.15430335,0.15430335,0,0,0.15430335,0.15430335,0.15430335,0.15430335,0,0,0,0,0.15430335,0,0,0.15430335,0.15430335,0,0,0,0,0,0,0.15430335,0,0,0,0.15430335,0,0,0,0,0.15430335,0,0.15430335,0,0,0,0.15430335,0.15430335,0,0,0,0,0,0,0.15430335,0.15430335,0,0,0,0,0,0,0,0,0,0.15430335,0.15430335,0.15430335
ZFHX4,0,0,0,0.174077656,0.174077656,0,0,0,0,0,0,0,0,0,0.174077656,0,0,0,0,0.174077656,0,0,0,0,0,0.174077656,0,0.174077656,0.174077656,0,0,0,0.174077656,0,0,0.174077656,0,0,0,0,0.174077656,0,0,0.174077656,0,0.174077656,0,0,0,0.174077656,0,0.174077656,0,0,0.174077656,0.174077656,0,0,0,0,0.174077656,0.174077656,0.174077656,0,0,0,0.174077656,0,0,0,0,0.174077656,0,0,0,0,0,0.174077656,0.174077656,0,0,0,0,0,0,0,0,0,0,0.174077656,0,0.174077656,0,0,0,0,0,0,0.174077656,0.174077656,0.174077656,0,0,0,0,0,0,0.174077656,0.174077656,0,0,0,0,0,0.174077656,0,0,0,0,0.174077656,0.174077656
NEB,0.160128154,0,0.160128154,0.160128154,0.160128154,0,0,0,0.160128154,0.160128154,0,0.160128154,0,0.160128154,0.160128154,0.160128154,0,0,0,0,0,0.160128154,0,0,0,0.160128154,0,0,0.160128154,0,0.160128154,0,0,0,0,0.160128154,0,0.160128154,0.160128154,0.160128154,0,0,0.160128154,0,0,0,0,0,0,0,0,0.160128154,0.160128154,0,0,0.160128154,0,0.160128154,0,0,0,0,0.160128154,0,0,0,0,0,0,0,0,0.160128154,0,0,0,0,0,0,0.160128154,0,0,0,0.160128154,0,0,0.160128154,0,0,0,0,0,0,0,0,0.160128154,0,0,0,0.160128154,0.160128154,0.160128154,0,0.160128154,0.160128154,0,0,0,0.160128154,0.160128154,0,0,0,0,0,0,0.160128154,0,0,0,0.160128154,0.160128154
CSMD3,0,0.166666667,0,0,0.166666667,0.166666667,0.166666667,0,0,0.166666667,0,0,0,0.166666667,0.166666667,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0.166666667,0,0,0.166666667,0,0,0.166666667,0.166666667,0.166666667,0,0.166666667,0,0.166666667,0,0,0,0,0,0,0.166666667,0,0,0,0.166666667,0,0.166666667,0,0,0.166666667,0,0,0,0,0,0.166666667,0,0.166666667,0,0,0,0,0.166666667,0,0,0.166666667,0.166666667,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0.166666667,0,0.166666667,0,0.166666667,0,0,0,0,0.166666667,0.166666667,0,0,0,0.166666667,0,0,0.166666667,0,0,0,0.166666667,0.166666667
PCLO,0,0,0,0,0,0,0,0,0,0.164398987,0,0.164398987,0,0,0.164398987,0.164398987,0,0,0.164398987,0,0,0.164398987,0,0,0,0.164398987,0.164398987,0,0.164398987,0.164398987,0.164398987,0,0,0,0,0,0,0.164398987,0.164398987,0.164398987,0,0,0,0,0,0,0.164398987,0,0,0.164398987,0.164398987,0,0,0,0,0.164398987,0.164398987,0,0,0,0,0.164398987,0,0,0,0.164398987,0.164398987,0.164398987,0.164398987,0,0,0,0,0.164398987,0,0,0,0.164398987,0,0.164398987,0,0,0,0.164398987,0.164398987,0,0,0,0,0,0,0.164398987,0,0.164398987,0,0,0,0,0,0,0.164398987,0,0.164398987,0,0,0,0,0.164398987,0.164398987,0,0,0,0,0,0,0,0,0,0,0.164398987,0.164398987
SOX11,0,0.185695338,0.185695338,0,0.185695338,0,0.185695338,0,0,0.185695338,0,0,0,0,0,0.185695338,0,0,0,0,0,0.185695338,0,0,0,0,0,0,0.185695338,0,0,0,0,0,0,0,0,0.185695338,0,0.185695338,0,0.185695338,0.185695338,0,0,0,0,0,0,0,0,0,0,0,0,0.185695338,0,0.185695338,0,0,0,0,0,0,0,0.185695338,0,0.185695338,0,0,0,0.185695338,0,0,0,0.185695338,0.185695338,0.185695338,0,0,0,0,0.185695338,0,0,0.185695338,0,0,0.185695338,0,0,0.185695338,0,0,0,0,0,0,0,0.185695338,0.185695338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185695338,0.185695338,0.185695338
ADGRV1,0.15430335,0.15430335,0,0.15430335,0,0.15430335,0.15430335,0,0,0.15430335,0,0.15430335,0,0,0,0,0,0,0,0,0,0.15430335,0.15430335,0.15430335,0,0,0.15430335,0,0.15430335,0,0.15430335,0,0.15430335,0,0,0,0,0.15430335,0.15430335,0,0,0,0.15430335,0,0,0.15430335,0,0.15430335,0,0.15430335,0.15430335,0,0,0,0,0.15430335,0,0.15430335,0,0,0,0,0,0.15430335,0.15430335,0.15430335,0.15430335,0.15430335,0.15430335,0,0,0,0,0,0,0,0.15430335,0,0,0,0,0,0,0,0,0,0,0,0,0.15430335,0,0.15430335,0,0,0,0,0,0,0.15430335,0.15430335,0,0,0.15430335,0,0,0,0,0.15430335,0.15430335,0,0,0,0,0,0,0.15430335,0,0.15430335,0.15430335,0.15430335,0.15430335
USH2A,0.185695338,0,0,0,0,0,0.185695338,0,0,0.185695338,0,0.185695338,0,0,0.185695338,0,0,0.185695338,0,0,0,0.185695338,0.185695338,0,0,0,0,0,0.185695338,0,0,0,0,0,0,0.185695338,0,0,0,0.185695338,0.185695338,0,0,0,0,0,0,0,0,0.185695338,0,0.185695338,0,0,0,0.185695338,0,0.185695338,0,0,0.185695338,0,0,0.185695338,0,0.185695338,0.185695338,0.185695338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185695338,0,0,0,0,0,0.185695338,0,0,0.185695338,0,0,0,0,0,0.185695338,0,0,0.185695338,0.185695338,0,0,0,0,0,0,0,0,0,0.185695338,0,0.185695338
LRP2,0,0,0,0.169030851,0,0,0,0,0,0.169030851,0,0.169030851,0,0,0.169030851,0,0,0,0,0,0,0.169030851,0.169030851,0.169030851,0.169030851,0.169030851,0,0,0.169030851,0.169030851,0.169030851,0,0,0,0.169030851,0.169030851,0,0.169030851,0,0.169030851,0,0,0.169030851,0,0,0,0.169030851,0,0,0.169030851,0,0.169030851,0,0,0,0.169030851,0,0,0,0,0.169030851,0,0,0,0,0,0.169030851,0,0,0,0,0.169030851,0,0.169030851,0,0,0,0.169030851,0,0,0,0,0,0.169030851,0.169030851,0,0,0.169030851,0,0,0,0,0,0.169030851,0,0,0,0,0,0,0.169030851,0,0,0,0,0,0,0.169030851,0.169030851,0,0,0,0,0,0,0,0,0,0,0.169030851,0.169030851
MACF1,0.15430335,0,0,0.15430335,0.15430335,0.15430335,0.15430335,0,0,0.15430335,0,0,0,0.15430335,0.15430335,0.15430335,0,0,0,0,0,0.15430335,0,0.15430335,0,0.15430335,0,0.15430335,0.15430335,0,0.15430335,0,0,0,0,0.15430335,0,0.15430335,0,0.15430335,0,0,0.15430335,0,0,0.15430335,0.15430335,0,0,0.15430335,0,0,0,0,0,0,0,0.15430335,0,0,0,0.15430335,0,0,0.15430335,0,0.15430335,0.15430335,0.15430335,0,0,0.15430335,0,0.15430335,0,0,0.15430335,0,0,0,0,0,0,0,0.15430335,0,0,0,0,0.15430335,0,0,0,0,0,0.15430335,0,0,0,0.15430335,0.15430335,0,0,0,0.15430335,0,0,0.15430335,0.15430335,0,0,0,0,0,0,0,0,0,0.15430335,0.15430335,0.15430335
FAT3,0,0,0,0,0,0,0.188982237,0.188982237,0,0,0,0,0,0.188982237,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188982237,0.188982237,0,0,0,0.188982237,0,0,0.188982237,0,0,0.188982237,0.188982237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188982237,0,0.188982237,0,0.188982237,0.188982237,0,0,0,0,0.188982237,0,0,0.188982237,0,0,0,0.188982237,0,0,0,0,0,0,0.188982237,0,0.188982237,0.188982237,0,0,0,0,0,0,0,0,0.188982237,0,0.188982237,0,0,0,0,0.188982237,0,0,0,0.188982237,0,0,0,0,0,0.188982237,0,0,0,0,0,0,0.188982237,0,0,0.188982237,0.188982237,0.188982237
RYR3,0,0,0,0.164398987,0.164398987,0.164398987,0,0,0,0.164398987,0,0.164398987,0,0,0.164398987,0,0,0,0,0,0,0.164398987,0,0,0,0.164398987,0.164398987,0,0.164398987,0,0,0,0,0,0.164398987,0,0,0,0.164398987,0,0.164398987,0,0.164398987,0,0,0,0.164398987,0,0,0,0,0.164398987,0,0,0,0.164398987,0,0.164398987,0.164398987,0.164398987,0,0.164398987,0.164398987,0,0,0,0.164398987,0,0.164398987,0,0,0.164398987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164398987,0.164398987,0.164398987,0.164398987,0.164398987,0,0,0.164398987,0,0.164398987,0,0,0,0,0,0,0,0,0.164398987,0.164398987,0,0,0,0,0,0,0,0,0,0.164398987,0.164398987,0.164398987
SPTA1,0,0,0.188982237,0,0,0,0.188982237,0,0,0.188982237,0,0,0,0,0,0,0,0,0,0,0,0.188982237,0,0,0,0,0,0,0.188982237,0.188982237,0,0,0,0,0,0,0,0,0,0,0.188982237,0,0,0,0,0.188982237,0,0,0,0.188982237,0,0,0,0,0,0.188982237,0,0,0,0.188982237,0,0,0,0,0,0.188982237,0,0.188982237,0.188982237,0,0,0.188982237,0.188982237,0.188982237,0,0,0,0.188982237,0.188982237,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188982237,0.188982237,0,0,0,0,0,0.188982237,0.188982237,0,0,0,0,0,0,0,0.188982237,0,0,0.188982237,0,0,0,0.188982237,0,0,0,0.188982237,0.188982237
FLRT2,0,0,0,0.188982237,0.188982237,0,0.188982237,0,0,0.188982237,0,0.188982237,0,0,0,0,0,0,0.188982237,0,0,0,0,0.188982237,0,0,0,0,0.188982237,0,0,0,0.188982237,0,0,0,0,0,0.188982237,0,0.188982237,0,0,0,0,0,0,0.188982237,0.188982237,0,0,0,0,0,0,0.188982237,0,0,0.188982237,0.188982237,0,0,0,0,0,0,0.188982237,0,0,0,0,0,0,0.188982237,0,0,0,0,0,0,0,0,0,0,0,0,0.188982237,0,0,0,0,0,0,0.188982237,0,0.188982237,0.188982237,0,0,0.188982237,0,0,0,0,0,0.188982237,0,0.188982237,0.188982237,0,0,0,0,0,0,0,0,0,0,0.188982237,0.188982237
DCHS2,0,0,0,0,0,0.171498585,0.171498585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171498585,0,0,0,0.171498585,0,0,0.171498585,0.171498585,0.171498585,0,0.171498585,0,0,0,0.171498585,0.171498585,0.171498585,0.171498585,0.171498585,0.171498585,0.171498585,0,0,0,0.171498585,0,0,0,0,0,0,0,0,0.171498585,0,0.171498585,0,0,0.171498585,0,0,0.171498585,0.171498585,0.171498585,0,0,0,0,0,0,0,0,0,0,0.171498585,0,0,0.171498585,0,0,0,0,0.171498585,0,0,0,0,0.171498585,0,0,0,0,0.171498585,0,0,0,0.171498585,0,0.171498585,0,0,0,0,0,0,0.171498585,0.171498585,0,0,0,0,0,0,0,0,0,0.171498585,0.171498585,0.171498585
